Bedrooms,Bathrooms,Balconies,Pujaz_Rooms,Super_area,Carpet_area,Floor_Number,Total_Floors,Furnished_status,Facing,Address,Price
1,1,0,0,660,600,3,4,Unfurnished,West,Bandari Layout,22
2,2,0,0,1100,1000,0,4,Unfurnished,East,Bandari Layout,30
2,2,0,0,1100,1000,8,20,Semi-Furnished,East,Bandari Layout,53
2,2,0,0,1150,1050,3,4,Semi-Furnished,North - East,Bandari Layout,47
2,2,0,1,1074,974,2,5,Unfurnished,East,Bandari Layout,38.4
2,2,2,0,1050,1000,1,5,Unfurnished,West,Bandari Layout,43.5
2,2,2,0,1250,1150,0,5,Furnished,North - West,Bandari Layout,52
2,2,2,1,1110,1020,5,6,Semi-Furnished,East,Bandari Layout,45
3,2,2,0,1550,1450,1,4,Unfurnished,North,Bandari Layout,55
2,1,0,0,1200,1200,1,7,Unfurnished,East,Bandlaguda Jagir,59.2
2,2,0,0,1050,900,1,4,Unfurnished,West,Bandlaguda Jagir,40
2,2,0,1,1200,980,1,5,Unfurnished,East,Bandlaguda Jagir,46.5
2,2,2,0,1250,1250,6,8,Unfurnished,North,Bandlaguda Jagir,53.8
2,2,2,1,1173,1173,2,4,Furnished,East,Bandlaguda Jagir,49
2,2,2,1,1300,1300,1,3,Furnished,East,Bandlaguda Jagir,52
3,3,0,1,1302,1200,3,5,Unfurnished,East,Bandlaguda Jagir,50
3,3,0,1,1302,1200,3,5,Unfurnished,North,Bandlaguda Jagir,50
3,2,2,0,1502,1300,3,5,Unfurnished,East,Bandlaguda Jagir,59.8
3,3,0,1,1506,1204,5,5,Unfurnished,East,Bandlaguda Jagir,64
3,3,2,0,1506,1506,1,5,Unfurnished,East,Bandlaguda Jagir,57.2
3,3,0,1,1506,1240,3,5,Unfurnished,East,Bandlaguda Jagir,60.7
3,2,0,0,1600,1600,5,8,Unfurnished,East,Bandlaguda Jagir,78.4
2,2,0,0,850,775,3,5,Unfurnished,East,Bandlaguda-Chandrayanagutta,32
2,2,0,1,1170,1135,3,5,Unfurnished,East,Bandlaguda-Nagole,22
2,2,2,0,1230,1230,3,5,Unfurnished,East,Bandlaguda-Nagole,54.1
2,3,2,1,1350,1250,3,4,Furnished,North - East,Bandlaguda-Nagole,75
3,2,2,1,1645,1645,4,5,Unfurnished,East,Bandlaguda-Nagole,31.3
3,3,0,1,1662,1330,1,5,Unfurnished,East,Bandlaguda-Nagole,76.4
3,2,0,1,1690,1645,4,5,Unfurnished,East,Bandlaguda-Nagole,32.9
1,1,0,0,680,600,3,3,Semi-Furnished,East,Banjara Hills,25
2,2,0,0,1010,1010,1,3,Semi-Furnished,East,Banjara Hills,48
1,2,0,0,750,600,3,4,Unfurnished,North - East,Barkatpura,25
2,2,0,0,1050,1000,2,5,Semi-Furnished,East,Barkatpura,65
3,3,2,0,1525,1400,1,5,Semi-Furnished,North,Barkatpura,67.5
2,2,3,0,1100,940,2,2,Furnished,East,Basheer Bagh,60
2,2,0,0,1100,1100,2,5,Unfurnished,East,Batchupally,44
2,1,0,1,1110,1110,2,5,Unfurnished,West,Beeramguda,42.5
2,1,2,0,1090,900,0,5,Unfurnished,West,Beeramguda,40
2,2,0,0,1028,1028,2,6,Semi-Furnished,North,Beeramguda,30.4
2,2,0,0,1080,1080,2,5,Unfurnished,East,Beeramguda,35.6
2,2,0,0,1100,1100,2,4,Semi-Furnished,North - East,Beeramguda,45
2,2,0,0,1144,1144,10,10,Semi-Furnished,East,Beeramguda,28.6
2,2,0,0,1200,1000,4,10,Unfurnished,East,Beeramguda,25
2,2,0,0,750,675,2,2,Unfurnished,North,Beeramguda,23
2,2,0,1,1000,800,6,10,Unfurnished,East,Beeramguda,25
2,2,0,1,1005,905,3,6,Unfurnished,North,Beeramguda,30.2
2,2,0,1,1014,914,2,5,Semi-Furnished,West,Beeramguda,30.3
2,2,0,1,1040,900,3,4,Furnished,North - East,Beeramguda,40
2,2,0,1,1100,920,5,10,Unfurnished,West,Beeramguda,23.8
2,2,0,1,1101,1001,1,1,Unfurnished,South,Beeramguda,58
2,2,0,1,850,850,4,4,Semi-Furnished,North - East,Beeramguda,45
2,2,2,0,1036,750,3,4,Unfurnished,East,Beeramguda,30.5
2,2,2,0,1080,1080,2,5,Unfurnished,East,Beeramguda,48.4
2,2,2,1,1000,900,3,5,Unfurnished,East,Beeramguda,49.7
2,2,2,1,1020,1020,1,4,Semi-Furnished,East,Beeramguda,30
2,2,2,1,1025,1000,2,5,Semi-Furnished,East,Beeramguda,38
2,2,2,1,1030,1030,3,4,Unfurnished,West,Beeramguda,34
2,2,2,1,1200,1200,2,10,Semi-Furnished,East,Beeramguda,30
2,2,2,1,1200,1200,2,10,Semi-Furnished,East,Beeramguda,36
3,2,0,1,1500,1500,3,5,Unfurnished,East,Beeramguda,57.8
3,2,0,1,1500,1500,1,1,Unfurnished,East,Beeramguda,60.5
3,3,3,1,1665,1665,2,10,Semi-Furnished,East,Beeramguda,50
3,2,0,0,1500,1400,4,4,Unfurnished,North - East,Begumpet,70
2,2,0,1,1075,1075,2,4,Unfurnished,North - West,Boduppal,36
2,2,2,0,797,780,2,3,Unfurnished,East,Boduppal,26
2,2,3,0,1130,905,7,8,Unfurnished,East,Boduppal,45.2
2,2,0,0,1130,1150,0,4,Semi-Furnished,North - West,Boinpalli,39
2,2,0,0,1075,1075,2,5,Semi-Furnished,East,Bolarum,37.6
2,2,0,1,1070,1000,2,5,Unfurnished,East,Bolarum,40
2,2,2,0,1075,1075,2,2,Unfurnished,East,Bolarum,43.8
2,2,2,0,1230,984,3,4,Unfurnished,North,Bolarum,40
2,2,2,1,1140,1140,3,5,Unfurnished,East,Bolarum,46
3,3,2,1,1665,1565,1,5,Furnished,West,Bolarum,63
2,2,0,0,1200,1100,4,4,Furnished,West,Borabanda,69
2,2,2,0,1200,1200,4,5,Semi-Furnished,North,Bowenpally,38
3,3,2,1,1370,1270,3,3,Unfurnished,East,Bowenpally,53.2
2,2,2,1,1122,897,1,5,Unfurnished,North - East,Bowrampet,39
3,3,0,1,1630,1350,3,4,Unfurnished,East,Camelot Layout,75
3,3,3,1,1720,1645,3,4,Unfurnished,East,Chadarghat,78
2,2,0,1,1130,1000,4,4,Unfurnished,East,Chaitanyapuri,48
2,1,2,0,1100,1000,1,5,Unfurnished,West,Chandanagar,61
2,2,0,0,1100,1000,2,4,Semi-Furnished,East,Chandanagar,61
2,2,0,0,1205,927,7,32,Unfurnished,East,Chandanagar,47.3
2,2,0,0,1225,1000,2,5,Unfurnished,West,Chandanagar,60
2,2,0,0,1472,1472,2,5,Unfurnished,East,Chandanagar,72.2
2,2,0,0,885,885,1,4,Unfurnished,West,Chandanagar,39
2,2,0,1,1205,927,5,32,Unfurnished,East,Chandanagar,29
2,2,0,1,885,885,0,0,Unfurnished,West,Chandanagar,44
2,2,2,0,1138,1138,1,5,Unfurnished,East,Chandanagar,58
2,2,2,0,1166,1166,2,4,Unfurnished,East,Chandanagar,53.6
2,2,2,0,1270,1170,5,5,Semi-Furnished,North - East,Chandanagar,60
3,2,2,1,1500,1125,4,4,Unfurnished,West,Chandanagar,73
3,3,2,0,1550,1400,4,4,Unfurnished,West,Chandanagar,58
2,2,0,1,700,650,0,3,Furnished,South,Charminar,25
2,2,2,0,1000,1000,4,5,Semi-Furnished,West,Cherukupally Pratap Reddy Colony,43
3,3,0,0,1300,1200,3,5,Semi-Furnished,North,Chilakalguda,55
2,2,0,1,1075,975,4,5,Unfurnished,East,Chilka Nagar,49.7
2,2,0,0,1200,1200,4,5,Unfurnished,West,CMC Enclave,71
2,2,0,0,1062,1062,4,4,Unfurnished,North,Dammaiguda,30
2,2,0,0,763,763,2,3,Semi-Furnished,West,Dammaiguda,24
2,2,0,1,1000,940,2,3,Unfurnished,East,Dammaiguda,27
2,2,0,1,1190,1090,2,4,Unfurnished,East,Dammaiguda,38
2,2,0,1,1200,1100,1,4,Semi-Furnished,West,Dammaiguda,37
2,2,0,1,900,850,3,5,Unfurnished,West,Dammaiguda,35
2,2,0,0,1185,1000,3,4,Unfurnished,North,DD Colony,68
2,2,0,1,1200,1200,2,4,Semi-Furnished,North,DD Colony,53
2,2,2,0,1125,1050,1,5,Semi-Furnished,South,DD Colony,68
2,2,0,0,1000,850,1,4,Semi-Furnished,North,Dilsukh Nagar,33
2,2,0,0,1200,1100,3,5,Semi-Furnished,East,Dilsukh Nagar,68
2,2,0,0,792,770,4,5,Unfurnished,West,Dilsukh Nagar,32
2,2,0,1,1000,900,5,6,Furnished,West,Dilsukh Nagar,45
2,2,2,1,1040,1040,3,4,Furnished,East,Dilsukh Nagar,60
3,3,2,0,1000,850,5,5,Furnished,East,Dilsukh Nagar,40
