Bedrooms,Bathrooms,Balconies,Pujaz_Rooms,Super_area,Carpet_area,Furnished_status,Facing,Address,Price
2,3,2,1,1280,1280,Semi-Furnished,East,Beeramguda,65.5
2,3,2,1,1280,1280,Semi-Furnished,East,Beeramguda,63.5
2,3,2,1,1280,1280,Semi-Furnished,East,Beeramguda,64
2,3,2,1,1280,1280,Semi-Furnished,North - East,Beeramguda,69
2,3,2,1,1280,1280,Semi-Furnished,West,Beeramguda,59.5
2,3,2,1,1280,1280,Semi-Furnished,East,Beeramguda,63.5
2,3,2,1,1280,1280,Semi-Furnished,West,Beeramguda,60
2,3,2,1,1280,1280,Semi-Furnished,East,Beeramguda,64.5
2,3,2,1,1280,1280,Semi-Furnished,East,Beeramguda,65
2,3,2,1,1280,1280,Semi-Furnished,East,Beeramguda,66
2,2,0,1,1280,1350,Unfurnished,West,BandlagudaJagir,68
2,2,0,0,1278,1000,Unfurnished,None,Almasguda,65
2,2,0,1,1277,900,Unfurnished,East,Kushaiguda,68
2,2,0,1,1275,1175,Semi-Furnished,North - West,RNReddyColony,65
2,2,0,1,1275,980,Unfurnished,East,PragathiNagar,54
2,1,0,1,1260,1200,Unfurnished,East,Patelguda,66
2,2,2,1,1250,1210,Unfurnished,West,Rampally,62
2,2,0,1,1250,1250,Unfurnished,None,Rampally,68
2,2,0,1,1250,1150,Unfurnished,West,RamachandraPuram,58
2,2,0,1,1250,1150,Unfurnished,West,RamachandraPuram,58
2,2,0,1,1250,1150,Unfurnished,West,RamachandraPuram,58
2,2,0,1,1250,1150,Unfurnished,West,RamachandraPuram,58
2,2,0,1,1250,1150,Unfurnished,West,RamachandraPuram,58
2,2,0,1,1250,1150,Unfurnished,West,RamachandraPuram,58
2,3,0,1,1250,150,Unfurnished,West,nearauroracollege,53
2,3,0,1,1250,1100,Unfurnished,West,Patelguda,60
2,3,0,1,1250,1250,Unfurnished,North,Nagaram-Secunderabad,57
2,2,0,0,1250,1200,Unfurnished,West,Nagaram-Secunderabad,52
2,3,2,1,1250,1250,Unfurnished,East,KrishnaReddyPet,65
2,2,0,1,1250,1250,Unfurnished,East,Kistareddypet,65
2,2,0,1,1250,1250,Unfurnished,East,Bollaram,67
2,2,0,0,1250,1250,Unfurnished,None,Beeramguda,68
2,3,0,1,1250,1200,Unfurnished,West,Beeramguda,57.5
2,3,0,1,1250,1200,Unfurnished,East,Beeramguda,62
2,3,0,1,1250,1200,Unfurnished,West,Beeramguda,60
2,3,0,0,1250,1200,Unfurnished,None,Beeramguda,64
