Project_Name,Plot_Area,Transaction_Type,Address,Price
Doyen County,200,New Property,Kompally,50
Doyen County,265,New Property,Maheshwaram,31.8
Doyen County,400,New Property,Bangalore-Hyderabad Highway,20
Doyen County,500,Resale,Aziz Nagar,50
Doyen County,200,New Property,Ghatkesar,26
Doyen County,400,New Property,Adibatla,47
Doyen County,300,New Property,Abdullapurmet,40.5
Doyen County,210,New Property,Ghatkesar,27.3
Doyen County,200,New Property,Kardhanur,46
Highway Paradise II,125,New Property,Isnapur,33.1
Cristal County V,220,New Property,Kollur,48.4
Cristal County V,257,New Property,Alwal,59.1
Cristal County V,160,New Property,Pedda Amberpet,27
Cristal County V,164,New Property,R K Puram,40
Cristal County V,175,Resale,Kushaiguda,61
Cristal County V,200,Resale,Rudraram,32
Cristal County V,180,Resale,Kalyan Puri,43
Cristal County V,267,New Property,Ameerpet Village,29.4
Cristal County V,227,Resale,Moinabad,27.2
Cristal County V,155,Resale,Bachupally,46.5
Cristal County V,400,Resale,Ghatkesar,66
Cristal County V,167,Resale,Beeramguda,55
Cristal County V,216,Resale,Mallampet,42
Gachibowli County Phase VII,250,Resale,Mokila,70
Imperial City,178,New Property,Tukkuguda,33.8
Imperial City,200,New Property,Maheshwaram,20
Imperial City,233,Resale,Medchal,25.6
Imperial City,244,Resale,panjerla village,22
Imperial City,240,Resale,Aushapur,22
Imperial City,100,Resale,Alkapuri,62
Imperial City,500,New Property,Mansanpally,50
Imperial City,200,Resale,Kistareddypet,50
Imperial City,218,Resale,Kothur,20
Imperial City,240,Resale,Patancheru,38.4
Imperial City,128,Resale,Turkayamjal,21.8
Imperial City,200,Resale,Shamirpet,60
Imperial City,500,Resale,Ravalkole,30
Imperial City,200,New Property,Maheshwaram,24
Imperial City,240,Resale,Mokila,64.8
Imperial City,200,Resale,Patancheru Industrial Area,34
Imperial City,120,Resale,Shivarampally,32
Imperial City,130,Resale,Kapra,40
Imperial City,267,Resale,Kandukur,32
Imperial City,350,Resale,Upparpally,45
Imperial City,280,Resale,Moinabad,70
Imperial City,400,Resale,Gollapally,20
Imperial City,167,New Property,Shadnagar,20.8
Imperial City,239,Resale,Shadnagar,28.6
Imperial City,200,New Property,Yadagirigutta,25
Imperial City,700,Resale,Chilkur,65
Imperial City,400,Resale,Kadtal,24
Imperial City,200,Resale,Kollur,48
Imperial City,600,Resale,Ramoji Film city,36
Imperial City,117,Resale,Gundlapochampalli,31
Imperial City,167,New Property,Shankarpalli Road,20.1
Imperial City,500,Resale,Chevella,40
Imperial City,200,Resale,Changicharla,35
Imperial City,290,Resale,Moinabad,35
Imperial City,200,Resale,Kothur,30
Imperial City,230,Resale,Hayathnagar,23
Imperial City,285,Resale,Medchal,37.1
Imperial City,400,Resale,Chevella,25
Imperial City,250,Resale,Bibinagar,23
Imperial City,200,Resale,Gandi Maisamma,52
Imperial City,446,Resale,Shadnagar,23.2
Imperial City,200,Resale,Vampugda/Saket mitila Backside,60
Imperial City,197,Resale,Srisailam Highway,20.7
Imperial City,672,Resale,Shadnagar,60.5
Imperial City,400,Resale,Thimmapuram,52
Imperial City,200,Resale,Shamirpet,60
Imperial City,200,Resale,bacharam,26
Imperial City,225,Resale,Shamshabad,34
Imperial City,300,Resale,Bhanoor,70
Imperial City,167,New Property,Medchal,35
Imperial City,200,Resale,Gundlapochampally,64
Imperial City,534,Resale,Shadnagar,20
Imperial City,212,Resale,Shamshabad,20.1
Imperial City,600,Resale,Shadnagar,40
Imperial City,200,Resale,Mallapur,26
Imperial City,200,Resale,Batasingaram,20
Imperial City,300,Resale,Bhongiri,30
Imperial City,220,Resale,Kongara Kalan,66
Imperial City,180,Resale,Shamshabad,21
Imperial City,267,Resale,Ibrahimpatnam Road,37
Imperial City,202,New Property,Shameerpet,50.5
Imperial City,165,Resale,Gagilapur,45
Imperial City,133,Resale,Isnapur,26.6
Imperial City,275,Resale,Kothur,33
Imperial City,600,Resale,Medchal,60
Imperial City,500,Resale,Bibi nagar,50
Imperial City,167,Resale,Gajularamaram,69
